	corn		prairie					prairie			corn		
	4493667.3		4493668.3					Proteobacteria	843011	0.390006796	Proteobacteria	683364	0.420240498
Amino Acids and Derivatives	46856	0.072981354	55348	0.086208212				Acidobacteria	195343	0.090372602	Actinobacteria	200131	0.123072259
Carbohydrates	66782	0.104017432	85272	0.132816844				Bacteroidetes	193127	0.089347402	Bacteroidetes	186424	0.114643023
Cell Division and Cell Cycle	7436	0.011582067	7843	0.012215997				Actinobacteria	184472	0.085343292	Firmicutes	105877	0.065109961
Cell Wall and Capsule	27835	0.043354874	35803	0.055765567				Ascomycota	144566	0.06688136	Acidobacteria	78653	0.048368331
Clustering-based subsystems	99467	0.154926506	113768	0.17720127				Firmicutes	121621	0.056266189	Verrucomicrobia	56898	0.034989909
"Cofactors, Vitamins, Prosthetic Groups, Pigments"	41392	0.064470809	45064	0.070190194				Verrucomicrobia	116609	0.05394746	Cyanobacteria	53911	0.033153028
DNA Metabolism	25566	0.039820755	26908	0.04191101				Cyanobacteria	83351	0.03856113	Chloroflexi	50321	0.030945326
Dormancy and Sporulation	1329	0.002070006	1432	0.002230436				Planctomycetes	66651	0.030835117	Planctomycetes	41905	0.025769836
"Fatty Acids, Lipids, and Isoprenoids"	17622	0.027447444	21620	0.033674596				Chloroflexi	55467	0.025661002	Euryarchaeota	23149	0.014235674
Iron acquisition and metabolism	7113	0.011078973	7276	0.011332857				Euryarchaeota	20573	0.0095178	Nitrospirae	14736	0.009062028
Membrane Transport	25565	0.039819198	27020	0.042085457				Deinococcus-Thermus	15319	0.007087113	Deinococcus-Thermus	13458	0.008276111
Metabolism of Aromatic Compounds	11370	0.017709536	14314	0.022295013				Chlorobi	15192	0.007028358	Thaumarchaeota	12304	0.007566449
Miscellaneous	59191	0.092193942	68522	0.106727599				unclassified (derived from Bacteria)	13043	0.006034155	Gemmatimonadetes	10867	0.006682754
Motility and Chemotaxis	6446	0.010040076	7565	0.011782994				Streptophyta	8956	0.004143363	Chlorobi	10307	0.006338377
Nitrogen Metabolism	6403	0.009973101	7528	0.011725364				Chordata	7246	0.003352257	unclassified (derived from Bacteria)	10024	0.006164344
Nucleosides and Nucleotides	16639	0.025916356	18106	0.028201306				Gemmatimonadetes	7235	0.003347168	Ascomycota	6819	0.004193402
"Phages, Prophages, Transposable elements, Plasmids"	14778	0.023017724	13438	0.020930584				Nitrospirae	7224	0.003342079	Crenarchaeota	6314	0.003882848
Phosphorus Metabolism	4990	0.007772259	5935	0.00924416				Spirochaetes	6577	0.003042754	unclassified (derived from Viruses)	5713	0.003513258
Photosynthesis	1007	0.00156847	1083	0.001686845				Basidiomycota	5521		Streptophyta	5572	
Potassium metabolism	2540	0.00395622	3194	0.004974869				Thermotogae	4646		Spirochaetes	5498	
Protein Metabolism	41160	0.064109453	41880	0.065230902				Aquificae	4527		Chordata	5482	
RNA Metabolism	25869	0.040292698	26847	0.041815998				unclassified (derived from Eukaryota)	4451		Arthropoda	4394	
Regulation and Cell signaling	12922	0.020126879	15631	0.024346328				Arthropoda	3553		Aquificae	3667	
Respiration	21216	0.033045339	23860	0.037163546				Crenarchaeota	3394		Thermotogae	3536	
Secondary Metabolism	2984	0.00464778	3859	0.006010651				Lentisphaerae	2824		unclassified (derived from Eukaryota)	3195	
Stress Response	17813	0.027744939	19988	0.031132647				Synergistetes	2610		Synergistetes	2462	
Sulfur Metabolism	9315	0.014508736	10656	0.016597433				Fusobacteria	2481		Fusobacteria	2239	
"Virulence, Disease and Defense"	20421	0.031807074	26499	0.041273965				unclassified (derived from unclassified sequences)	2445		unclassified (derived from unclassified sequences)	1955	
	642027		736259					Chlamydiae	2394		Chlamydiae	1828	
								Chlorophyta	1991		Candidatus Poribacteria	1629	
								unclassified (derived from Viruses)	1972		Lentisphaerae	1615	
								Thaumarchaeota	1671		Chlorophyta	1576	
								Deferribacteres	1593		Deferribacteres	1417	
								Dictyoglomi	1374		Dictyoglomi	1194	
								Nematoda	870		Basidiomycota	1066	
								Candidatus Poribacteria	851		Cnidaria	1034	
								unclassified (derived from Archaea)	759		Nematoda	808	
								unclassified (derived from other sequences)	662		Tenericutes	589	
								Apicomplexa	625		Apicomplexa	530	
								Cnidaria	595		Fibrobacteres	435	
								Tenericutes	571		Elusimicrobia	399	
								Fibrobacteres	522		Chrysiogenetes	392	
								Elusimicrobia	479		unclassified (derived from other sequences)	369	
								Chrysiogenetes	469		Echinodermata	358	
								Echinodermata	391		Bacillariophyta	340	
								Phaeophyceae	366		Korarchaeota	335	
								Bacillariophyta	302		unclassified (derived from Archaea)	315	
								Korarchaeota	233		Phaeophyceae	255	
								Hemichordata	209		Placozoa	140	
								Placozoa	167		Platyhelminthes	99	
								Platyhelminthes	117		Microsporidia	58	
								Microsporidia	81		Mollusca	35	
								unclassified (derived from Fungi)	71		Nanoarchaeota	30	
								Mollusca	37		Rotifera	29	
								Rotifera	31		unclassified (derived from Fungi)	26	
								Glomeromycota	18		Porifera	12	
								Nanoarchaeota	16		Annelida	6	
								Blastocladiomycota	11		Ctenophora	5	
								Chytridiomycota	10		Neocallimastigomycota	5	
								Annelida	9		Glomeromycota	4	
								Porifera	8		Chytridiomycota	3	
								Euglenida	7		Hemichordata	3	
								Neocallimastigomycota	4		Blastocladiomycota	2	
								Tardigrada	2		Brachiopoda	2	
								Acanthocephala	1		Tardigrada	2	
								Chromerida	1		Xanthophyceae	2	
								Ctenophora	1		Chaetognatha	1	
								Nematomorpha	1		Euglenida	1	
								Onychophora	1		Nemertea	1	
								Xanthophyceae	1		Sipuncula	1	
									2161529			1626126	
